Classification,Area (sq km),rotulos
0,0.02022184893535539,Fora da área de interesse
3,260.8162959577703,Formação Florestal
5,5.104812846748621,Mangue
9,8.88643044509421,Silvicultura
11,67.99592456267233,Campo Alagado e Área Pantanosa
13,0.2037043603515625,Outras Formações não Florestais
15,125.0910583387102,Pastagem
21,132.41579796299024,Mosaico de Usos
23,25.619803233865664,"Praia, Duna e Areal"
24,124.86996593376219,Área Urbanizada
25,5.020411980801928,Outras Áreas não Vegetadas
33,14.82479557099418,"Rio, Lago e Oceano"
49,8.589342353890931,Restinga Arborizada
50,4.90502360233226,Restinga Herbácea
